Anno,Codice_Regione,Regione,Codice_Provincia,Provincia,Codice_Comune,Codice_Catastale,Comune,Popolazione
2019,01,Piemonte,001,Torino,001001,A074,Agliè,2635
2019,01,Piemonte,001,Torino,001002,A109,Airasca,3681
2019,01,Piemonte,001,Torino,001003,A117,Ala di Stura,453
2019,01,Piemonte,001,Torino,001004,A157,Albiano d'Ivrea,1646
2019,01,Piemonte,001,Torino,001006,A218,Almese,6378
2019,01,Piemonte,001,Torino,001007,A221,Alpette,242
2019,01,Piemonte,001,Torino,001008,A222,Alpignano,16379
2019,01,Piemonte,001,Torino,001009,A275,Andezeno,2013
2019,01,Piemonte,001,Torino,001010,A282,Andrate,499
2019,01,Piemonte,001,Torino,001011,A295,Angrogna,863
2019,01,Piemonte,001,Torino,001012,A405,Arignano,1075
2019,01,Piemonte,001,Torino,001013,A518,Avigliana,12563
2019,01,Piemonte,001,Torino,001014,A525,Azeglio,1258
2019,01,Piemonte,001,Torino,001015,A584,Bairo,800
2019,01,Piemonte,001,Torino,001016,A587,Balangero,3163
2019,01,Piemonte,001,Torino,001017,A590,Baldissero Canavese,542
2019,01,Piemonte,001,Torino,001018,A591,Baldissero Torinese,3680
2019,01,Piemonte,001,Torino,001019,A599,Balme,111
2019,01,Piemonte,001,Torino,001020,A607,Banchette,3239
2019,01,Piemonte,001,Torino,001021,A625,Barbania,1604
2019,01,Piemonte,001,Torino,001022,A651,Bardonecchia,3149
2019,01,Piemonte,001,Torino,001023,A673,Barone Canavese,589
2019,01,Piemonte,001,Torino,001024,A734,Beinasco,17936
2019,01,Piemonte,001,Torino,001025,A853,Bibiana,3463
2019,01,Piemonte,001,Torino,001026,A910,Bobbio Pellice,545
2019,01,Piemonte,001,Torino,001027,A941,Bollengo,2167
2019,01,Piemonte,001,Torino,001028,A990,Borgaro Torinese,11912
2019,01,Piemonte,001,Torino,001029,B003,Borgiallo,588
2019,01,Piemonte,001,Torino,001030,B015,Borgofranco d'Ivrea,3672
2019,01,Piemonte,001,Torino,001031,B021,Borgomasino,788
2019,01,Piemonte,001,Torino,001032,B024,Borgone Susa,2209
2019,01,Piemonte,001,Torino,001033,B075,Bosconero,3133
2019,01,Piemonte,001,Torino,001034,B121,Brandizzo,8738
2019,01,Piemonte,001,Torino,001035,B171,Bricherasio,4616
2019,01,Piemonte,001,Torino,001036,B205,Brosso,394
2019,01,Piemonte,001,Torino,001037,B209,Brozolo,436
2019,01,Piemonte,001,Torino,001038,B216,Bruino,8696
2019,01,Piemonte,001,Torino,001039,B225,Brusasco,1528
2019,01,Piemonte,001,Torino,001040,B232,Bruzolo,1526
2019,01,Piemonte,001,Torino,001041,B278,Buriasco,1351
2019,01,Piemonte,001,Torino,001042,B279,Burolo,1144
2019,01,Piemonte,001,Torino,001043,B284,Busano,1636
2019,01,Piemonte,001,Torino,001044,B297,Bussoleno,5941
2019,01,Piemonte,001,Torino,001045,B305,Buttigliera Alta,6407
2019,01,Piemonte,001,Torino,001046,B350,Cafasse,3416
2019,01,Piemonte,001,Torino,001047,B435,Caluso,7544
2019,01,Piemonte,001,Torino,001048,B462,Cambiano,5980
2019,01,Piemonte,001,Torino,001049,B512,Campiglione Fenile,1341
2019,01,Piemonte,001,Torino,001050,B588,Candia Canavese,1232
2019,01,Piemonte,001,Torino,001051,B592,Candiolo,5635
2019,01,Piemonte,001,Torino,001052,B605,Canischio,277
2019,01,Piemonte,001,Torino,001053,B628,Cantalupa,2620
2019,01,Piemonte,001,Torino,001054,B637,Cantoira,576
2019,01,Piemonte,001,Torino,001055,B705,Caprie,2085
2019,01,Piemonte,001,Torino,001056,B733,Caravino,902
2019,01,Piemonte,001,Torino,001057,B762,Carema,771
2019,01,Piemonte,001,Torino,001058,B777,Carignano,9274
2019,01,Piemonte,001,Torino,001059,B791,Carmagnola,28969
2019,01,Piemonte,001,Torino,001060,B867,Casalborgone,1887
2019,01,Piemonte,001,Torino,001061,B953,Cascinette d'Ivrea,1511
2019,01,Piemonte,001,Torino,001062,B955,Caselette,3030
2019,01,Piemonte,001,Torino,001063,B960,Caselle Torinese,13958
2019,01,Piemonte,001,Torino,001064,C045,Castagneto Po,1782
2019,01,Piemonte,001,Torino,001065,C048,Castagnole Piemonte,2244
2019,01,Piemonte,001,Torino,001066,C133,Castellamonte,9946
2019,01,Piemonte,001,Torino,001067,C241,Castelnuovo Nigra,430
2019,01,Piemonte,001,Torino,001068,C307,Castiglione Torinese,6501
2019,01,Piemonte,001,Torino,001069,C369,Cavagnolo,2059
2019,01,Piemonte,001,Torino,001070,C404,Cavour,5492
2019,01,Piemonte,001,Torino,001071,C487,Cercenasco,1809
